# created by /home/bneron/Projects/GEM/MacSyFinder/src/macsylib/Sandbox/msl_example.py script with models TXSScan-1.1.3
# Systems found:
replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
test	VICH001.B.00001.C001_01397	T1SS_abc	11	TXSScan/bacteria/diderm/T1SS	test_T1SS_1	1	1	1.000	2.700	2	T1SS_abc	mandatory	721	2.4e-157	516.300	0.996	0.698	175	677		
test	VICH001.B.00001.C001_01398	T1SS_mfp	12	TXSScan/bacteria/diderm/T1SS	test_T1SS_1	1	1	1.000	2.700	2	T1SS_mfp	mandatory	467	2.3e-72	235.600	1.000	0.797	85	456		
test	VICH001.B.00001.C001_01399	T1SS_abc	13	TXSScan/bacteria/diderm/T1SS	test_T1SS_1	1	1	1.000	2.700	2	T1SS_abc	mandatory	720	2.1e-158	519.700	1.000	0.699	167	669		
test	VICH001.B.00001.C001_01506	T1SS_omf	23	TXSScan/bacteria/diderm/T1SS	test_T1SS_1	1	-1	1.000	2.700	2	T1SS_omf	mandatory	419	9.3e-35	111.500	0.998	0.912	25	406		

test	VICH001.B.00001.C001_01397	T1SS_abc	11	TXSScan/bacteria/diderm/T1SS	test_T1SS_2	1	1	1.000	2.700	2	T1SS_abc	mandatory	721	2.4e-157	516.300	0.996	0.698	175	677		
test	VICH001.B.00001.C001_01398	T1SS_mfp	12	TXSScan/bacteria/diderm/T1SS	test_T1SS_2	1	1	1.000	2.700	2	T1SS_mfp	mandatory	467	2.3e-72	235.600	1.000	0.797	85	456		
test	VICH001.B.00001.C001_01399	T1SS_abc	13	TXSScan/bacteria/diderm/T1SS	test_T1SS_2	1	1	1.000	2.700	2	T1SS_abc	mandatory	720	2.1e-158	519.700	1.000	0.699	167	669		
test	VICH001.B.00001.C001_01506	T1SS_omf	23	TXSScan/bacteria/diderm/T1SS	test_T1SS_2	1	-1	1.000	2.700	2	T1SS_omf	mandatory	419	9.3e-35	111.500	0.998	0.912	25	406		

